date,spy_close,vix_close,vix3m_close,hyg_close,lqd_close,tlt_close,hy_oas,t10y2y,nfci
2021-12-22,440.0584716796875,18.6299991607666,23.559999465942383,67.16419219970703,110.5765151977539,127.20389556884766,1.86,0.78,
2021-12-23,442.7965393066406,17.959999084472656,23.239999771118164,67.35740661621094,110.41011810302734,126.10008239746094,1.86,0.79,
2021-12-27,449.0630798339844,17.68000030517578,22.739999771118164,67.42693328857422,110.73468017578125,126.40576171875,1.86,0.72,
2021-12-28,448.69610595703125,17.540000915527344,22.329999923706055,67.39604187011719,110.59317779541016,125.90483856201172,1.86,0.75,
2021-12-29,449.27001953125,16.950000762939453,21.829999923706055,67.2878189086914,109.98582458496094,124.52933502197266,1.85,0.8,
2021-12-30,448.0280456542969,17.329999923706055,21.8799991607666,67.25690460205078,110.42676544189453,125.57367706298828,1.85,0.79,
2021-12-31,446.89886474609375,17.219999313354492,21.8799991607666,67.24147033691406,110.26039123535156,125.81993865966797,,0.79,-0.555
2022-01-03,449.4864196777344,16.600000381469727,21.530000686645508,67.21055603027344,109.08721923828125,122.51708221435547,1.82,0.85,
2022-01-04,449.33587646484375,16.90999984741211,21.6200008392334,67.04052734375,109.17872619628906,122.0076904296875,1.84,0.89,
2022-01-05,440.7076416015625,19.729999542236328,23.469999313354492,66.52275848388672,108.53807830810547,121.34542083740234,1.8,0.88,
2022-01-06,440.29364013671875,19.610000610351562,23.5,66.53047943115234,108.39663696289062,121.65957641601562,1.78,0.85,
2022-01-07,438.5530090332031,18.760000228881836,22.8700008392334,66.3604965209961,107.9306869506836,120.7850341796875,1.78,0.89,-0.56
2022-01-10,438.0072021484375,19.399999618530273,22.68000030517578,66.41455841064453,107.83086395263672,121.08226013183594,1.76,0.86,
2022-01-11,441.9967346191406,18.40999984741211,21.979999542236328,66.72368621826172,108.15534210205078,121.8888168334961,1.76,0.85,
2022-01-12,443.1917724609375,17.6200008392334,21.579999923706055,66.83187866210938,108.0804214477539,121.42182159423828,1.77,0.82,
2022-01-13,437.0852355957031,20.309999465942383,23.40999984741211,66.59231567382812,108.42157745361328,122.50012969970703,1.8,0.79,
2022-01-14,437.2638854980469,19.190000534057617,22.81999969482422,66.53047943115234,107.46473693847656,120.6491928100586,1.79,0.79,-0.56
2022-01-18,429.5201416015625,22.790000915527344,25.1200008392334,66.2059326171875,106.44136810302734,118.95116424560547,1.78,0.81,
2022-01-19,425.0602111816406,23.850000381469727,25.809999465942383,66.14405822753906,106.60775756835938,119.77471160888672,1.77,0.79,
2022-01-20,420.35552978515625,25.59000015258789,27.25,66.02041625976562,106.54952239990234,120.51337432861328,1.79,0.75,
2022-01-21,412.103759765625,28.850000381469727,29.950000762939453,66.02816009521484,107.2484359741211,121.94824981689453,1.84,0.74,-0.553
2022-01-24,413.8538513183594,29.899999618530273,30.81999969482422,65.95862579345703,106.91563415527344,120.94637298583984,1.89,0.76,
2022-01-25,408.8011169433594,31.15999984741211,31.760000228881836,65.76538848876953,106.61610412597656,120.75110626220703,1.91,0.76,
